location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location C,32.76,73,v1.1,0.75,0.6,Software Update/Reset,28.84
Location D,23.54,65,v2.1,0.79,0.58,No Maintenance Needed,276.68
Location A,24.7,53,v1.1,0.5,1.83,Software Update/Reset,39.03
Location A,20.59,65,v2.0,0.1,0.81,No Maintenance Needed,337.32
Location C,27.75,67,v2.0,0.38,0.69,No Maintenance Needed,301.68
Location D,21.21,68,v1.0,0.93,2.25,Cable Inspection/Replacement,16.42
Location A,32.59,52,v1.2,0.23,1.5,No Maintenance Needed,196.38
Location D,13.71,58,v2.0,0.32,0.83,No Maintenance Needed,261.31
Location C,25.12,66,v2.0,0.75,1.24,No Maintenance Needed,298.82
Location A,30.41,56,v1.2,0.73,0.89,No Maintenance Needed,326.0
Location D,29.47,55,v2.0,0.91,0.71,Cable Inspection/Replacement,19.8
Location A,49.54,67,v1.1,0.39,1.27,Software Update/Reset,22.35
Location C,30.8,63,v2.1,0.51,0.85,No Maintenance Needed,181.63
Location D,19.97,49,v2.0,0.47,1.04,No Maintenance Needed,212.8
Location A,27.24,65,v2.0,0.93,1.67,Cable Inspection/Replacement,6.62
Location C,13.79,71,v2.0,0.77,1.58,Connector Cleaning/Repair,49.11
Location A,27.36,52,v2.0,0.83,0.76,No Maintenance Needed,267.07
Location A,21.34,60,v2.0,0.13,1.28,No Maintenance Needed,322.62
Location B,35.32,78,v2.0,0.79,0.57,Connector Cleaning/Repair,47.41
Location B,23.6,65,v1.2,0.43,1.25,No Maintenance Needed,341.51
Location C,27.07,69,v2.0,0.02,1.08,Connector Cleaning/Repair,38.81
Location B,22.92,53,v1.1,0.06,1.21,Software Update/Reset,34.51
Location C,41.91,57,v1.2,0.68,0.86,No Maintenance Needed,244.04
Location B,25.43,60,v1.1,0.37,2.83,Power Supply Unit Fault,2.14
Location A,42.66,62,v1.1,0.87,0.64,Software Update/Reset,23.18
Location C,34.51,63,v1.2,0.73,1.63,No Maintenance Needed,234.94
Location C,31.86,69,v2.0,0.02,0.6,Connector Cleaning/Repair,43.61
Location A,30.95,70,v1.2,0.69,1.29,Connector Cleaning/Repair,22.4
Location C,31.15,50,v2.0,0.19,1.33,No Maintenance Needed,197.36
Location C,12.58,62,v1.1,0.42,1.03,Software Update/Reset,15.58
Location B,25.77,75,v1.2,0.62,0.78,Connector Cleaning/Repair,32.63
Location C,34.76,60,v1.1,0.87,1.07,Software Update/Reset,21.34
Location D,27.61,63,v1.1,0.46,1.14,Software Update/Reset,44.93
Location A,16.76,55,v2.0,0.81,2.45,Power Supply Unit Fault,5.42
Location B,27.58,65,v2.0,0.78,0.65,No Maintenance Needed,297.45
Location B,41.63,68,v1.1,0.41,0.76,Software Update/Reset,34.02
Location D,37.98,77,v1.2,0.5,1.15,Connector Cleaning/Repair,35.37
Location A,27.5,49,v2.0,0.7,0.88,No Maintenance Needed,291.15
Location A,35.61,60,v1.1,0.03,0.95,Software Update/Reset,34.39
Location B,25.07,45,v1.0,0.89,1.71,Software Update/Reset,18.45
Location C,14.37,62,v2.0,0.77,0.24,No Maintenance Needed,229.09
Location B,20.6,72,v1.0,0.25,0.74,Software Update/Reset,24.92
Location A,40.5,59,v2.1,0.98,0.42,Cable Inspection/Replacement,18.16
Location D,25.81,57,v2.0,0.18,0.55,No Maintenance Needed,355.9
Location B,26.05,57,v1.2,0.91,3.33,Power Supply Unit Fault,5.02
Location A,25.6,60,v1.2,0.32,1.35,No Maintenance Needed,292.22
Location B,43.23,44,v2.0,0.76,1.61,No Maintenance Needed,298.39
Location C,41.01,68,v1.0,0.46,0.96,Software Update/Reset,35.87
Location B,45.75,69,v2.1,0.74,1.46,Connector Cleaning/Repair,42.61
Location B,26.73,69,v2.0,0.16,0.41,Connector Cleaning/Repair,39.78
Location A,30.36,62,v1.1,0.27,1.68,Software Update/Reset,44.56
Location A,15.87,45,v2.0,0.1,0.66,No Maintenance Needed,329.26
Location A,39.82,50,v1.1,0.87,0.77,Software Update/Reset,29.44
Location B,18.66,60,v1.0,0.3,1.29,Software Update/Reset,35.47
Location C,29.73,67,v2.0,0.69,1.17,No Maintenance Needed,303.0
Location D,19.22,62,v2.0,0.82,1.04,No Maintenance Needed,231.74
Location D,23.29,59,v2.0,0.9,0.51,Cable Inspection/Replacement,8.08
Location A,21.3,69,v1.1,0.11,1.05,Software Update/Reset,42.21
Location A,23.14,70,v2.0,0.89,1.62,Cable Inspection/Replacement,13.2
Location B,23.69,49,v1.0,0.2,0.77,Software Update/Reset,40.93
Location D,23.61,62,v2.0,0.74,1.93,No Maintenance Needed,322.11
Location A,34.67,65,v2.0,0.73,0.65,No Maintenance Needed,261.46
Location C,19.16,56,v2.0,0.01,1.0,No Maintenance Needed,207.02
Location C,29.76,66,v2.0,0.22,2.15,No Maintenance Needed,252.75
Location A,37.74,69,v2.0,0.49,0.71,Connector Cleaning/Repair,47.48
Location A,23.89,62,v2.1,0.42,1.69,No Maintenance Needed,330.11
Location D,22.26,70,v2.1,0.92,2.68,Power Supply Unit Fault,6.57
Location D,26.16,53,v2.0,0.36,1.09,No Maintenance Needed,355.59
Location B,37.44,58,v2.1,0.94,0.77,Cable Inspection/Replacement,6.28
Location D,29.55,72,v2.0,0.46,0.68,Connector Cleaning/Repair,54.47
Location C,23.75,34,v2.0,0.96,1.92,Cable Inspection/Replacement,8.66
Location C,31.87,63,v1.0,0.74,1.89,Software Update/Reset,41.08
Location A,19.18,56,v1.0,0.83,2.06,Software Update/Reset,44.17
Location D,33.45,56,v2.0,0.1,0.98,No Maintenance Needed,310.69
Location B,31.27,51,v1.2,0.59,1.68,No Maintenance Needed,318.02
Location C,25.54,53,v2.0,0.14,0.98,No Maintenance Needed,289.56
Location C,21.29,70,v1.2,0.3,0.64,Connector Cleaning/Repair,38.38
Location B,20.91,58,v1.2,0.62,1.75,No Maintenance Needed,325.49
Location B,32.28,61,v2.0,0.73,2.26,No Maintenance Needed,250.58
Location C,37.83,56,v2.1,0.04,0.6,No Maintenance Needed,283.57
Location C,22.9,60,v1.0,0.53,0.59,Software Update/Reset,35.27
Location B,31.67,71,v2.0,0.57,1.02,Connector Cleaning/Repair,32.94
Location C,11.3,51,v2.0,0.08,1.61,No Maintenance Needed,180.24
Location A,23.32,64,v1.2,0.5,0.57,No Maintenance Needed,240.08
Location A,27.75,57,v1.2,0.71,1.12,No Maintenance Needed,324.12
Location B,20.72,54,v1.0,0.05,0.74,Software Update/Reset,33.87
Location D,20.51,66,v1.0,0.76,1.42,Software Update/Reset,12.99
Location B,22.66,75,v1.2,0.58,0.67,Connector Cleaning/Repair,30.37
Location B,30.34,59,v1.0,0.83,1.47,Software Update/Reset,38.11
Location D,26.5,64,v1.1,0.22,0.92,Software Update/Reset,27.9
Location D,10.09,71,v2.0,0.83,0.63,Connector Cleaning/Repair,46.01
Location D,11.03,55,v2.0,0.09,1.03,No Maintenance Needed,209.92
Location A,23.15,39,v2.0,0.4,0.38,No Maintenance Needed,197.21
Location C,31.66,70,v1.1,0.2,0.76,Software Update/Reset,39.11
Location A,6.02,64,v2.0,0.88,1.18,No Maintenance Needed,227.96
Location C,24.0,69,v2.0,0.7,0.41,Connector Cleaning/Repair,20.11
Location A,23.79,70,v2.0,0.03,0.28,Connector Cleaning/Repair,31.64
Location C,39.11,74,v2.1,0.01,0.31,Connector Cleaning/Repair,54.8
Location A,24.92,54,v2.0,0.29,1.94,No Maintenance Needed,285.13
Location D,31.06,61,v2.0,0.14,0.96,No Maintenance Needed,224.19
Location B,29.13,62,v2.0,0.63,0.77,No Maintenance Needed,323.56
Location A,10.96,63,v1.1,0.66,1.6,Software Update/Reset,31.41
Location C,34.15,64,v1.1,0.94,0.82,Cable Inspection/Replacement,16.79
Location D,29.72,60,v1.0,0.95,1.14,Cable Inspection/Replacement,16.44
Location A,32.07,80,v1.0,0.66,1.01,Software Update/Reset,40.16
Location A,59.41,58,v1.1,0.01,0.79,Software Update/Reset,19.82
Location D,11.33,65,v2.0,0.36,1.16,No Maintenance Needed,221.25
Location A,41.8,72,v1.1,0.51,1.47,Software Update/Reset,23.45
Location B,25.7,59,v2.1,0.5,0.91,No Maintenance Needed,311.71
Location A,30.3,51,v2.0,0.6,0.79,No Maintenance Needed,261.9
Location B,27.64,68,v1.1,0.96,0.84,Cable Inspection/Replacement,11.63
Location B,24.61,55,v1.2,0.89,0.32,No Maintenance Needed,297.76
Location D,23.44,58,v1.1,0.11,1.15,Software Update/Reset,40.26
Location A,30.64,62,v2.1,0.27,0.55,No Maintenance Needed,354.58
Location D,15.86,74,v2.0,0.83,1.37,Connector Cleaning/Repair,32.25
Location A,34.0,62,v1.0,0.82,0.96,Software Update/Reset,40.3
Location A,24.67,74,v2.1,0.28,1.05,Connector Cleaning/Repair,30.3
Location C,18.96,57,v2.0,0.73,1.42,No Maintenance Needed,358.05
Location A,24.4,58,v1.0,0.67,0.63,Software Update/Reset,33.05
Location D,38.06,64,v2.0,0.47,1.2,No Maintenance Needed,290.15
Location B,23.72,62,v2.0,0.2,1.14,No Maintenance Needed,228.6
Location A,30.87,51,v1.1,0.89,0.91,Software Update/Reset,32.94
Location C,22.15,66,v2.0,0.68,0.63,No Maintenance Needed,322.15
Location D,34.06,38,v1.0,0.17,1.35,Software Update/Reset,35.73
Location A,33.48,42,v1.2,0.7,1.42,No Maintenance Needed,362.54
Location D,42.79,60,v1.0,0.74,1.06,Software Update/Reset,35.89
Location C,26.6,57,v2.1,0.89,0.59,No Maintenance Needed,251.67
Location C,33.35,55,v2.0,0.22,0.77,No Maintenance Needed,314.43
Location D,28.78,58,v1.1,0.99,0.97,Cable Inspection/Replacement,5.88
Location A,38.37,50,v1.2,0.15,1.41,No Maintenance Needed,249.16
Location B,22.25,57,v1.1,0.6,0.45,Software Update/Reset,13.32
Location C,33.96,65,v2.0,0.66,0.75,No Maintenance Needed,256.33
Location A,26.44,72,v1.0,0.42,0.82,Software Update/Reset,18.42
Location A,27.49,59,v2.0,0.48,0.96,No Maintenance Needed,321.75
Location B,28.73,40,v2.1,0.89,0.52,No Maintenance Needed,288.13
Location C,30.02,59,v2.0,0.65,0.9,No Maintenance Needed,181.43
Location C,27.07,65,v1.1,0.5,0.86,Software Update/Reset,35.07
Location A,29.72,55,v1.2,0.13,0.6,No Maintenance Needed,198.55
Location A,40.62,66,v1.2,0.01,0.94,No Maintenance Needed,271.38
Location B,35.88,66,v2.0,0.12,0.76,No Maintenance Needed,273.64
Location B,34.95,67,v2.0,0.96,1.28,Cable Inspection/Replacement,11.17
Location C,24.36,55,v2.0,0.76,0.64,No Maintenance Needed,211.63
Location D,20.89,63,v1.2,0.97,1.05,Cable Inspection/Replacement,8.66
Location C,35.64,62,v2.0,0.04,0.67,No Maintenance Needed,193.14
Location A,35.01,74,v1.0,0.68,0.74,Software Update/Reset,40.43
Location C,39.78,66,v1.2,0.04,1.16,No Maintenance Needed,292.17
Location D,23.17,66,v2.0,0.78,1.12,No Maintenance Needed,243.01
Location B,26.16,57,v1.0,0.38,0.81,Software Update/Reset,10.51
Location D,14.88,69,v2.0,0.1,0.87,Connector Cleaning/Repair,40.94
Location D,24.86,59,v2.0,0.57,0.48,No Maintenance Needed,336.43
Location D,35.97,67,v2.0,0.28,2.02,No Maintenance Needed,341.81
Location B,24.27,56,v1.0,0.66,1.41,Software Update/Reset,23.68
Location D,33.12,61,v1.1,0.66,1.39,Software Update/Reset,10.86
Location D,26.48,55,v1.2,0.71,0.45,No Maintenance Needed,299.05
Location D,30.59,53,v1.1,0.99,0.74,Cable Inspection/Replacement,8.97
Location A,18.82,59,v2.1,0.39,0.85,No Maintenance Needed,330.82
Location D,28.68,57,v2.0,0.47,0.38,No Maintenance Needed,224.82
Location B,4.07,69,v1.1,0.8,1.56,Software Update/Reset,14.04
Location D,26.5,76,v2.1,0.58,2.07,Connector Cleaning/Repair,28.97
Location D,14.96,64,v2.0,0.04,2.8,Power Supply Unit Fault,2.4
Location B,37.65,54,v1.1,0.84,0.59,Software Update/Reset,23.4
Location D,34.22,69,v1.2,0.05,1.06,Connector Cleaning/Repair,24.25
Location B,31.73,56,v1.1,0.17,1.94,Software Update/Reset,36.4
Location D,40.17,45,v2.1,0.1,0.88,No Maintenance Needed,337.58
Location B,20.41,60,v2.0,0.08,0.75,No Maintenance Needed,348.29
Location D,41.98,69,v2.0,0.03,0.39,Connector Cleaning/Repair,52.37
Location D,35.46,76,v1.2,0.06,1.76,Connector Cleaning/Repair,54.46
Location A,26.11,76,v2.0,0.44,0.99,Connector Cleaning/Repair,57.35
Location A,37.08,63,v1.0,0.25,0.69,Software Update/Reset,33.37
Location D,19.15,67,v2.1,0.13,1.15,No Maintenance Needed,309.54
Location D,21.4,47,v2.1,0.66,1.08,No Maintenance Needed,208.7
Location C,23.13,55,v1.2,0.23,1.09,No Maintenance Needed,213.11
Location B,23.77,62,v2.0,0.02,0.9,No Maintenance Needed,193.76
Location C,19.55,53,v2.0,0.42,2.25,No Maintenance Needed,205.84
Location A,37.78,50,v2.1,0.31,0.94,No Maintenance Needed,277.2
Location A,25.93,69,v1.2,0.32,2.25,Connector Cleaning/Repair,35.57
Location A,30.82,60,v1.2,0.45,1.33,No Maintenance Needed,196.27
Location A,23.44,53,v2.0,0.67,1.19,No Maintenance Needed,259.54
Location D,13.44,62,v2.0,0.62,0.94,No Maintenance Needed,236.74
Location A,30.16,67,v1.2,0.94,1.63,Cable Inspection/Replacement,17.23
Location D,12.7,50,v2.0,0.52,1.06,No Maintenance Needed,194.65
Location D,27.45,64,v1.0,0.47,0.63,Software Update/Reset,41.84
Location A,17.05,69,v2.0,0.21,0.62,Connector Cleaning/Repair,25.85
Location A,43.9,58,v1.1,0.76,1.24,Software Update/Reset,32.03
Location B,35.29,58,v1.1,0.14,0.64,Software Update/Reset,14.63
Location C,28.85,45,v1.2,0.49,0.97,No Maintenance Needed,331.71
Location A,38.11,58,v1.2,0.42,1.7,No Maintenance Needed,310.19
Location B,21.23,54,v2.0,0.66,1.16,No Maintenance Needed,345.39
Location B,32.35,67,v2.0,0.92,0.7,Cable Inspection/Replacement,19.66
Location C,29.6,49,v1.2,0.95,2.02,Cable Inspection/Replacement,13.02
Location D,30.11,52,v1.1,0.17,1.32,Software Update/Reset,30.82
Location A,38.18,61,v2.0,0.26,1.66,No Maintenance Needed,184.4
Location C,33.86,59,v1.2,0.81,0.32,No Maintenance Needed,193.87
Location A,30.31,51,v2.0,0.52,1.18,No Maintenance Needed,291.23
Location B,14.76,52,v2.0,0.45,1.52,No Maintenance Needed,239.59
Location B,20.32,59,v2.1,0.71,2.34,Power Supply Unit Fault,5.81
Location D,27.02,57,v2.0,0.6,0.48,No Maintenance Needed,286.91
Location B,28.75,61,v1.0,0.97,1.83,Cable Inspection/Replacement,15.94
Location B,18.96,56,v2.0,0.58,2.28,Power Supply Unit Fault,6.79
Location C,47.29,71,v2.1,0.47,0.36,Connector Cleaning/Repair,25.9
Location A,40.13,55,v1.2,0.54,1.27,No Maintenance Needed,184.15
Location A,32.82,62,v2.1,0.81,1.36,No Maintenance Needed,320.54
Location C,28.58,65,v2.0,0.61,0.85,No Maintenance Needed,213.33
Location D,26.3,64,v1.2,0.65,0.78,No Maintenance Needed,305.47
Location A,20.38,75,v1.2,0.97,1.4,Cable Inspection/Replacement,15.39
Location B,28.62,51,v2.0,0.62,0.74,No Maintenance Needed,183.65
Location A,30.06,61,v1.1,0.38,0.9,Software Update/Reset,16.37
Location B,18.07,50,v1.1,0.69,1.5,Software Update/Reset,14.64
Location D,30.67,55,v1.0,0.66,2.4,Power Supply Unit Fault,4.25
Location C,26.76,68,v1.1,0.01,1.31,Software Update/Reset,42.12
Location A,12.74,54,v1.2,0.47,1.07,No Maintenance Needed,359.46
Location C,21.12,82,v2.0,0.74,0.77,Connector Cleaning/Repair,54.11
Location A,24.69,71,v1.1,0.5,0.6,Software Update/Reset,24.59
Location B,43.1,77,v2.1,0.78,1.74,Connector Cleaning/Repair,48.24
Location C,32.45,59,v1.1,0.45,0.93,Software Update/Reset,17.53
Location A,17.32,62,v1.2,0.98,1.78,Cable Inspection/Replacement,5.03
Location B,31.89,61,v1.1,0.29,0.85,Software Update/Reset,39.31
Location C,15.62,41,v1.1,0.09,0.72,Software Update/Reset,25.91
Location C,36.66,59,v1.0,0.43,1.23,Software Update/Reset,39.72
Location A,24.23,64,v2.0,0.54,0.96,No Maintenance Needed,187.32
Location A,27.25,58,v2.0,0.35,0.55,No Maintenance Needed,209.66
Location A,38.61,61,v1.1,0.24,2.48,Power Supply Unit Fault,4.36
Location B,17.7,78,v1.2,0.67,0.73,Connector Cleaning/Repair,57.37
Location A,16.82,65,v1.0,0.38,1.59,Software Update/Reset,13.69
Location C,23.33,49,v2.0,0.63,1.52,No Maintenance Needed,211.1
Location C,36.31,59,v2.0,0.78,0.53,No Maintenance Needed,264.73
Location A,15.85,76,v1.0,0.76,0.61,Software Update/Reset,29.07
Location A,5.34,62,v1.2,0.38,0.86,No Maintenance Needed,291.38
Location D,24.39,57,v2.1,0.57,0.65,No Maintenance Needed,294.31
Location C,32.41,62,v1.2,0.45,2.37,Power Supply Unit Fault,3.13
Location B,37.6,53,v2.0,0.87,0.9,No Maintenance Needed,264.1
Location D,24.29,76,v1.2,0.88,1.56,Connector Cleaning/Repair,21.0
Location A,24.71,59,v2.0,0.34,1.29,No Maintenance Needed,249.88
Location A,37.23,69,v2.1,0.09,1.14,Connector Cleaning/Repair,55.43
Location C,13.04,69,v2.1,0.17,1.02,Connector Cleaning/Repair,21.31
Location A,24.89,71,v2.0,0.37,1.86,Connector Cleaning/Repair,46.24
Location B,29.52,51,v1.2,0.56,0.66,No Maintenance Needed,206.2
Location C,31.59,56,v1.2,0.66,2.37,Power Supply Unit Fault,1.02
Location A,23.92,70,v1.2,0.33,0.53,Connector Cleaning/Repair,54.99
Location C,28.28,58,v2.1,0.67,1.48,No Maintenance Needed,232.77
Location A,8.09,57,v2.0,0.94,0.5,Cable Inspection/Replacement,13.46
Location A,22.73,57,v1.2,0.65,0.85,No Maintenance Needed,294.72
Location A,31.63,77,v1.0,0.16,1.05,Software Update/Reset,32.9
Location B,20.14,52,v2.0,0.58,0.78,No Maintenance Needed,290.8
Location B,28.47,57,v2.1,0.54,0.91,No Maintenance Needed,330.04
Location C,31.57,55,v2.0,0.87,0.5,No Maintenance Needed,190.02
Location A,25.26,67,v1.1,0.35,0.61,Software Update/Reset,37.16
Location A,29.36,49,v1.0,0.42,1.28,Software Update/Reset,11.15
Location B,20.3,66,v1.2,0.6,1.01,No Maintenance Needed,223.33
Location A,26.35,67,v2.1,0.52,0.71,No Maintenance Needed,337.55
Location B,32.88,66,v2.1,0.72,1.94,No Maintenance Needed,228.77
Location A,29.26,54,v2.1,0.04,0.54,No Maintenance Needed,358.05
Location C,23.31,56,v2.0,0.56,0.83,No Maintenance Needed,287.52
Location A,29.79,75,v2.0,0.12,0.78,Connector Cleaning/Repair,47.05
Location A,33.72,67,v2.0,0.32,1.36,No Maintenance Needed,226.09
Location D,11.6,73,v2.0,0.66,1.02,Connector Cleaning/Repair,25.74
Location B,37.27,66,v2.0,0.16,0.95,No Maintenance Needed,213.92
Location A,25.31,53,v1.2,0.31,0.4,No Maintenance Needed,344.2
Location A,31.4,58,v2.0,0.7,1.54,No Maintenance Needed,192.53
Location D,37.58,62,v1.1,0.65,0.9,Software Update/Reset,22.49
Location D,17.03,55,v1.1,0.09,1.06,Software Update/Reset,43.43
Location B,22.32,63,v2.0,0.58,0.69,No Maintenance Needed,286.29
Location D,25.69,67,v2.1,0.15,0.64,No Maintenance Needed,331.88
Location C,21.73,66,v2.0,0.25,2.12,No Maintenance Needed,363.79
Location D,41.88,56,v1.0,0.46,0.41,Software Update/Reset,26.93
Location C,21.15,51,v2.1,0.11,0.59,No Maintenance Needed,316.66
Location B,23.56,71,v2.0,0.99,2.1,Cable Inspection/Replacement,15.02
Location B,29.64,69,v1.2,0.17,1.38,Connector Cleaning/Repair,54.43
Location B,18.38,52,v2.0,0.78,0.85,No Maintenance Needed,310.92
Location B,24.83,60,v1.2,0.83,1.87,No Maintenance Needed,213.85
Location B,30.54,49,v1.2,0.99,1.25,Cable Inspection/Replacement,12.1
Location C,25.34,46,v2.0,0.43,1.12,No Maintenance Needed,283.05
Location C,27.25,58,v1.1,0.87,1.12,Software Update/Reset,41.89
Location B,23.77,74,v1.1,0.96,1.26,Cable Inspection/Replacement,7.96
Location D,15.88,66,v1.0,0.17,1.29,Software Update/Reset,40.03
Location A,30.57,65,v1.2,0.48,3.0,Power Supply Unit Fault,2.29
Location B,42.04,76,v1.1,0.06,0.91,Software Update/Reset,30.73
Location D,28.15,69,v1.1,0.62,0.92,Software Update/Reset,30.96
Location A,29.8,48,v1.0,0.58,0.54,Software Update/Reset,27.13
Location B,33.54,52,v1.1,0.2,0.97,Software Update/Reset,10.62
Location B,17.85,68,v1.2,0.8,2.54,Power Supply Unit Fault,3.52
Location C,41.62,60,v1.0,0.04,1.64,Software Update/Reset,16.85
Location A,29.62,71,v2.0,0.81,0.76,Connector Cleaning/Repair,33.71
Location A,41.05,55,v2.0,0.03,1.02,No Maintenance Needed,344.43
Location D,22.14,53,v1.0,0.66,0.52,Software Update/Reset,25.55
Location C,42.54,60,v2.0,0.08,0.62,No Maintenance Needed,229.55
Location C,34.2,71,v2.1,0.25,1.08,Connector Cleaning/Repair,35.47
Location C,32.42,52,v2.1,0.72,0.78,No Maintenance Needed,313.31
Location C,29.87,58,v1.0,0.28,0.59,Software Update/Reset,12.58
Location A,26.01,72,v2.0,0.51,1.28,Connector Cleaning/Repair,56.07
Location A,37.6,54,v1.2,0.92,0.96,Cable Inspection/Replacement,15.97
Location B,29.12,63,v1.0,0.05,0.46,Software Update/Reset,25.14
Location B,12.26,64,v1.1,0.81,0.35,Software Update/Reset,16.21
Location C,19.06,50,v1.2,0.07,0.75,No Maintenance Needed,247.65
Location C,26.51,53,v2.0,0.13,0.45,No Maintenance Needed,306.94
Location C,30.48,44,v2.0,0.12,0.39,No Maintenance Needed,271.38
Location B,27.55,65,v2.0,0.99,1.76,Cable Inspection/Replacement,10.31
Location D,37.75,62,v1.1,0.18,0.95,Software Update/Reset,35.09
Location D,12.39,56,v1.2,0.9,0.88,Cable Inspection/Replacement,18.27
Location B,29.15,62,v1.2,0.99,0.91,Cable Inspection/Replacement,14.5
Location B,13.46,61,v1.2,0.38,0.57,No Maintenance Needed,317.42
Location B,34.08,51,v2.1,0.63,1.23,No Maintenance Needed,180.23
Location B,27.24,56,v2.0,0.78,0.94,No Maintenance Needed,239.35
Location B,31.36,66,v2.1,0.39,0.68,No Maintenance Needed,349.3
Location B,21.09,76,v2.0,0.16,0.74,Connector Cleaning/Repair,52.89
Location C,38.24,58,v1.2,0.43,0.54,No Maintenance Needed,236.74
Location C,36.33,61,v1.2,0.77,0.82,No Maintenance Needed,264.05
Location C,32.67,43,v1.2,0.78,0.89,No Maintenance Needed,309.11
Location C,26.96,55,v1.2,0.23,0.81,No Maintenance Needed,254.88
Location B,32.64,64,v2.0,0.17,1.03,No Maintenance Needed,296.63
Location D,22.34,61,v1.2,0.92,0.96,Cable Inspection/Replacement,12.97
Location A,34.84,71,v1.1,0.04,1.12,Software Update/Reset,15.37
Location B,41.2,56,v2.0,0.73,1.6,No Maintenance Needed,324.3
Location A,36.56,69,v2.0,0.05,1.35,Connector Cleaning/Repair,41.82
Location D,22.16,66,v1.2,0.84,1.61,No Maintenance Needed,216.4
Location C,30.89,57,v2.0,0.91,0.65,Cable Inspection/Replacement,11.25
Location D,17.65,65,v1.0,0.3,0.78,Software Update/Reset,12.42
Location B,32.58,64,v2.0,0.07,1.39,No Maintenance Needed,191.64
Location C,31.6,53,v1.0,0.48,1.4,Software Update/Reset,42.4
Location B,13.04,62,v1.0,0.3,0.71,Software Update/Reset,18.9
Location C,18.71,49,v2.0,0.42,1.36,No Maintenance Needed,191.4
Location A,25.73,61,v1.2,0.66,0.62,No Maintenance Needed,180.89
Location A,25.59,84,v2.0,0.21,1.27,Connector Cleaning/Repair,26.89
Location A,18.32,72,v2.0,0.36,0.99,Connector Cleaning/Repair,39.89
Location D,31.11,57,v1.1,0.78,0.5,Software Update/Reset,37.77
Location B,30.01,72,v2.0,0.64,0.8,Connector Cleaning/Repair,23.31
Location D,26.45,62,v2.0,0.33,2.98,Power Supply Unit Fault,3.16
Location A,21.95,69,v1.1,0.66,1.11,Software Update/Reset,24.41
Location B,36.39,68,v2.0,0.77,3.16,Power Supply Unit Fault,4.96
Location A,41.24,59,v2.0,0.59,0.49,No Maintenance Needed,274.98
Location D,24.13,60,v2.0,0.24,1.46,No Maintenance Needed,292.72
Location D,23.1,61,v2.1,0.0,0.28,No Maintenance Needed,279.2
Location D,31.93,52,v2.0,0.8,1.0,No Maintenance Needed,219.78
Location A,25.14,68,v2.1,0.82,1.37,No Maintenance Needed,250.91
Location B,26.88,62,v2.0,0.7,1.52,No Maintenance Needed,354.06
Location B,33.92,58,v1.1,0.08,0.67,Software Update/Reset,10.41
Location A,12.73,70,v1.2,0.59,1.68,Connector Cleaning/Repair,50.97
Location B,38.55,68,v1.1,0.82,0.77,Software Update/Reset,11.94
Location A,28.58,48,v2.0,0.39,0.92,No Maintenance Needed,202.95
Location B,24.71,55,v2.0,0.2,0.81,No Maintenance Needed,325.34
Location C,27.29,47,v1.2,0.59,0.57,No Maintenance Needed,302.78
Location C,27.7,67,v1.0,0.83,2.19,Software Update/Reset,21.81
Location D,14.15,63,v1.2,0.05,1.02,No Maintenance Needed,326.32
Location C,39.96,64,v1.0,0.6,1.72,Software Update/Reset,40.71
Location C,28.33,49,v2.0,0.64,1.69,No Maintenance Needed,251.16
Location C,31.54,71,v2.0,0.6,0.62,Connector Cleaning/Repair,53.24
Location A,35.61,63,v2.1,0.65,1.84,No Maintenance Needed,239.23
Location C,19.83,58,v1.1,0.63,1.29,Software Update/Reset,43.32
Location C,31.79,67,v2.0,0.13,0.59,No Maintenance Needed,247.21
Location D,25.86,59,v2.0,0.23,1.25,No Maintenance Needed,315.12
Location C,34.77,56,v2.1,0.62,0.6,No Maintenance Needed,327.74
Location C,10.98,70,v2.0,0.02,2.23,Connector Cleaning/Repair,54.74
Location B,27.21,60,v1.1,0.63,1.5,Software Update/Reset,33.55
Location D,23.18,53,v1.2,0.67,0.97,No Maintenance Needed,330.95
Location D,31.46,57,v2.0,0.24,1.88,No Maintenance Needed,210.75
Location D,31.76,77,v2.0,0.6,0.45,Connector Cleaning/Repair,51.2
Location D,22.34,57,v2.0,0.53,0.69,No Maintenance Needed,223.33
Location D,22.3,56,v1.1,0.26,0.88,Software Update/Reset,33.31
Location D,27.11,72,v2.1,0.46,3.06,Power Supply Unit Fault,3.08
Location A,20.83,56,v1.0,0.91,0.59,Cable Inspection/Replacement,15.67
Location C,34.74,73,v2.1,0.43,0.43,Connector Cleaning/Repair,35.88
Location D,25.05,61,v2.0,0.63,0.49,No Maintenance Needed,277.64
Location C,4.74,45,v2.0,0.04,1.57,No Maintenance Needed,349.39
Location C,25.0,49,v2.0,0.08,0.74,No Maintenance Needed,263.18
Location A,19.69,66,v1.0,0.08,0.92,Software Update/Reset,40.53
Location D,14.95,56,v1.0,0.78,1.46,Software Update/Reset,14.19
Location B,18.1,74,v1.1,0.35,0.92,Software Update/Reset,29.26
Location A,28.88,65,v1.0,0.23,1.11,Software Update/Reset,35.18
Location B,38.63,56,v2.0,0.75,1.31,No Maintenance Needed,336.14
Location C,30.51,63,v1.1,0.17,0.81,Software Update/Reset,28.01
Location C,23.15,60,v2.0,0.25,0.92,No Maintenance Needed,349.89
